Occupation,OCC_Code,OCC_Type,2014 Empl,2024 Empl,# Incr,% Incr,SelfEmpl,Grow/Replace,Median Wage,Entry Eduction,Experience,OJT,
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,Line item,292.0,331.6,39.6,13.6,8.6,84.2,"$45,910",Postsecondary nondegree award,None,Long-term on-the-job training,
"Food servers, nonrestaurant",35-3041,Line item,253.1,287.0,33.8,13.4,—,96.0,"$21,240",No formal educational credential,None,Short-term on-the-job training,
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Line item,52.4,59.4,7.0,13.4,0.4,13.6,"$29,030",High school diploma or equivalent,None,Short-term on-the-job training,
Biological scientists,19-1020,Summary,114.1,118.4,4.3,3.7,2.0,35.0,"$71,890",—,—,—,
Dietetic technicians,29-2051,Line item,29.3,33.2,3.9,13.3,0.3,6.8,"$26,350",Associate's degree,None,None,
"Derrick operators, oil and gas",47-5011,Line item,21.7,24.6,2.9,13.3,0.6,10.3,"$48,130",No formal educational credential,None,Short-term on-the-job training,
"Engineering teachers, postsecondary",25-1032,Line item,46.0,52.0,6.0,13.2,0.1,14.2,"$97,530",Doctoral or professional degree,None,None,
Forest fire inspectors and prevention specialists,33-2022,Line item,1.7,2.0,0.2,13.1,—,0.7,"$36,230",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,
Conservation scientists and foresters,19-1030,Summary,36.5,39.3,2.7,7.5,1.3,18.7,"$60,610",—,—,—,
Cement masons and concrete finishers,47-2051,Line item,155.2,175.5,20.3,13.1,2.2,39.2,"$39,180",No formal educational credential,None,Moderate-term on-the-job training,
Taxi drivers and chauffeurs,53-3041,Line item,233.7,264.4,30.6,13.1,20.9,74.8,"$24,300",No formal educational credential,None,Short-term on-the-job training,
Medical scientists,19-1040,Summary,113.6,123.0,9.3,8.2,0.7,44.5,"$79,730",—,—,—,
Wellhead pumpers,53-7073,Line item,13.9,15.8,1.8,13.1,5.8,8.9,"$49,610",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,
"Software developers, systems software",15-1133,Line item,395.6,447.0,51.3,13.0,2.1,107.9,"$106,860",Bachelor's degree,None,None,
Elevator installers and repairers,47-4021,Line item,20.7,23.4,2.7,13.0,—,5.9,"$78,890",High school diploma or equivalent,None,Apprenticeship,
Physical scientists,19-2000,Summary,296.8,316.6,19.9,6.7,2.6,92.7,"$77,790",—,—,—,
Astronomers and physicists,19-2010,Summary,20.0,21.4,1.5,7.4,0.8,5.3,"$114,870",—,—,—,
Billing and posting clerks,43-3021,Line item,514.6,581.1,66.5,12.9,2.1,174.1,"$36,150",High school diploma or equivalent,None,Moderate-term on-the-job training,
Security and fire alarm systems installers,49-2098,Line item,64.0,72.3,8.2,12.9,5.1,24.1,"$44,330",High school diploma or equivalent,None,Moderate-term on-the-job training,
Computer user support specialists,15-1151,Line item,585.9,661.0,75.1,12.8,0.5,150.5,"$49,390","Some college, no degree",None,None,
Chemists and materials scientists,19-2030,Summary,98.4,101.0,2.6,2.6,2.1,24.2,"$75,420",—,—,—,
Roofers,47-2181,Line item,123.4,139.3,15.8,12.8,18.6,34.7,"$37,760",No formal educational credential,None,Moderate-term on-the-job training,
Construction laborers,47-2061,Line item,"1,159.1","1,306.5",147.4,12.7,25.7,378.6,"$33,430",No formal educational credential,None,Short-term on-the-job training,
Environmental scientists and geoscientists,19-2040,Summary,138.0,152.5,14.5,10.5,1.9,56.9,"$73,320",—,—,—,
"Rotary drill operators, oil and gas",47-5012,Line item,27.7,31.2,3.5,12.7,0.6,13.0,"$54,430",No formal educational credential,None,Moderate-term on-the-job training,
Helpers--extraction workers,47-5081,Line item,25.8,29.0,3.2,12.6,2.4,6.2,"$35,790",High school diploma or equivalent,None,Moderate-term on-the-job training,
Environmental engineers,17-2081,Line item,55.1,62.0,6.8,12.4,0.8,22.4,"$84,890",Bachelor's degree,None,None,
Respiratory therapists,29-1126,Line item,120.7,135.5,14.9,12.3,0.3,43.3,"$58,670",Associate's degree,None,None,
Social scientists and related workers,19-3000,Summary,307.1,344.7,37.5,12.2,18.3,97.2,"$75,280",—,—,—,
Health educators,21-1091,Line item,61.4,68.9,7.5,12.2,0.6,19.5,"$53,070",Bachelor's degree,None,None,
"Floor layers, except carpet, wood, and hard tiles",47-2042,Line item,17.1,19.2,2.1,12.2,41.9,4.5,"$37,840",No formal educational credential,None,Moderate-term on-the-job training,
Psychologists,19-3030,Summary,173.9,206.4,32.5,18.7,30.0,69.8,"$75,230",—,—,—,
Skincare specialists,39-5094,Line item,55.0,61.6,6.6,12.1,30.2,10.9,"$30,270",Postsecondary nondegree award,None,None,
Recreational therapists,29-1125,Line item,18.6,20.9,2.2,12.0,—,6.6,"$46,410",Bachelor's degree,None,None,
"Health diagnosing and treating practitioners, all other",29-1199,Line item,50.1,56.1,6.0,12.0,25.9,17.7,"$74,530",Master's degree,None,None,
Bus and truck mechanics and diesel engine specialists,49-3031,Line item,263.9,295.5,31.6,12.0,3.8,76.9,"$45,170",High school diploma or equivalent,None,Long-term on-the-job training,
Audio and video equipment technicians,27-4011,Line item,70.9,79.4,8.4,11.9,8.5,21.9,"$42,230",Postsecondary nondegree award,None,Short-term on-the-job training,
Miscellaneous social scientists and related workers,19-3090,Summary,54.4,53.9,-0.5,-1.0,1.8,6.8,"$77,020",—,—,—,
"Extraction workers, all other",47-5099,Line item,5.7,6.3,0.7,11.9,2.4,1.3,"$48,750",High school diploma or equivalent,None,Moderate-term on-the-job training,
Geological and petroleum technicians,19-4041,Line item,16.5,18.5,1.9,11.8,—,8.0,"$56,470",Associate's degree,None,Moderate-term on-the-job training,
Financial analysts,13-2051,Line item,277.6,310.0,32.3,11.7,3.0,89.4,"$81,760",Bachelor's degree,None,None,
"Healthcare support workers, all other",31-9099,Line item,102.7,114.7,12.0,11.7,1.5,33.4,"$36,330",High school diploma or equivalent,None,None,
Survey researchers,19-3022,Line item,16.7,18.7,1.9,11.6,5.0,3.9,"$54,470",Master's degree,None,None,
"Life, physical, and social science technicians",19-4000,Summary,395.6,416.7,21.1,5.3,2.0,166.1,"$44,250",—,—,—,
"Philosophy and religion teachers, postsecondary",25-1126,Line item,30.7,34.2,3.6,11.6,0.3,9.0,"$68,360",Doctoral or professional degree,None,None,
"Plumbers, pipefitters, and steamfitters",47-2152,Line item,425.0,474.1,49.1,11.5,10.5,105.2,"$51,450",High school diploma or equivalent,None,Apprenticeship,
Social and human service assistants,21-1093,Line item,386.6,430.8,44.2,11.4,0.1,120.0,"$31,810",High school diploma or equivalent,None,Short-term on-the-job training,
Pipelayers,47-2151,Line item,45.7,51.0,5.2,11.4,8.2,11.3,"$38,410",No formal educational credential,None,Short-term on-the-job training,
Database administrators,15-1141,Line item,120.0,133.4,13.4,11.1,1.6,39.2,"$84,950",Bachelor's degree,Less than 5 years,None,
Animal trainers,39-2011,Line item,36.8,40.9,4.1,11.1,43.1,17.4,"$27,690",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Miscellaneous life, physical, and social science technicians",19-4090,Summary,161.4,172.2,10.7,6.6,2.0,80.2,"$44,190",—,—,—,
Automotive and watercraft service attendants,53-6031,Line item,105.8,117.6,11.7,11.1,0.4,53.8,"$22,420",No formal educational credential,None,Short-term on-the-job training,
"Counselors, all other",21-1019,Line item,31.0,34.4,3.4,11.0,5.0,9.9,"$44,350",Master's degree,None,None,
Electrical power-line installers and repairers,49-9051,Line item,118.6,131.6,13.0,11.0,2.1,60.3,"$68,010",High school diploma or equivalent,None,Long-term on-the-job training,
"Foreign language and literature teachers, postsecondary",25-1124,Line item,37.2,41.3,4.1,10.9,0.2,10.7,"$63,500",Doctoral or professional degree,None,None,
Community and social service occupations,21-0000,Summary,"2,465.7","2,723.4",257.7,10.5,2.1,792.6,"$42,990",—,—,—,
"Counselors, social workers, and other community and social service specialists",21-1000,Summary,"2,033.7","2,269.4",235.7,11.6,2.5,672.6,"$43,020",—,—,—,
Counselors,21-1010,Summary,687.6,777.0,89.3,13.0,5.3,233.2,"$45,970",—,—,—,
Farm and home management advisors,25-9021,Line item,10.8,11.9,1.2,10.9,1.6,2.2,"$49,490",Master's degree,None,None,
Orderlies,31-1015,Line item,53.0,58.8,5.8,10.9,—,17.8,"$26,690",High school diploma or equivalent,None,Short-term on-the-job training,
"Combined food preparation and serving workers, including fast food",35-3021,Line item,"3,159.7","3,503.2",343.5,10.9,0.1,"1,364.6","$19,440",No formal educational credential,None,Short-term on-the-job training,
First-line supervisors of personal service workers,39-1021,Line item,255.8,283.8,28.0,10.9,32.3,76.4,"$36,700",High school diploma or equivalent,Less than 5 years,None,
"Art, drama, and music teachers, postsecondary",25-1121,Line item,120.7,133.7,13.0,10.8,0.2,34.4,"$68,650",Master's degree,None,None,
Dental laboratory technicians,51-9081,Line item,38.7,42.9,4.2,10.8,8.4,13.5,"$37,680",High school diploma or equivalent,None,Moderate-term on-the-job training,
Social workers,21-1020,Summary,649.3,724.1,74.8,11.5,2.0,231.2,"$46,890",—,—,—,
Accountants and auditors,13-2011,Line item,"1,332.7","1,475.1",142.4,10.7,5.9,498.0,"$68,150",Bachelor's degree,None,None,
Computer and information research scientists,15-1111,Line item,25.6,28.3,2.7,10.7,—,6.0,"$111,840",Doctoral or professional degree,None,None,
"Environmental scientists and specialists, including health",19-2041,Line item,94.6,104.8,10.2,10.7,1.7,39.3,"$68,910",Bachelor's degree,None,None,
"Sales and related workers, all other",41-9099,Line item,103.0,114.0,11.0,10.7,12.0,25.4,"$37,190",High school diploma or equivalent,None,None,
Miscellaneous community and social service specialists,21-1090,Summary,696.8,768.3,71.6,10.3,0.2,208.2,"$36,970",—,—,—,
Mechanical door repairers,49-9011,Line item,17.4,19.3,1.9,10.7,—,8.7,"$38,480",High school diploma or equivalent,None,Moderate-term on-the-job training,
Medical appliance technicians,51-9082,Line item,14.6,16.1,1.6,10.7,8.4,5.1,"$35,980",High school diploma or equivalent,None,Long-term on-the-job training,
Exercise physiologists,29-1128,Line item,14.5,16.0,1.5,10.6,52.4,3.0,"$47,340",Bachelor's degree,None,None,
Nonfarm animal caretakers,39-2021,Line item,204.8,226.4,21.6,10.6,19.1,63.8,"$21,990",High school diploma or equivalent,None,Short-term on-the-job training,
"Geoscientists, except hydrologists and geographers",19-2042,Line item,36.4,40.2,3.8,10.5,2.4,15.0,"$89,780",Bachelor's degree,None,None,
Religious workers,21-2000,Summary,432.0,454.0,22.0,5.1,0.2,120.0,"$42,220",—,—,—,
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Line item,11.9,13.1,1.2,10.5,—,2.7,"$27,310",No formal educational credential,None,Short-term on-the-job training,
Commercial pilots,53-2012,Line item,43.5,48.0,4.5,10.5,7.0,15.1,"$77,200",High school diploma or equivalent,None,Moderate-term on-the-job training,
"English language and literature teachers, postsecondary",25-1123,Line item,90.8,100.2,9.4,10.4,0.1,25.5,"$63,730",Doctoral or professional degree,None,None,
Legal occupations,23-0000,Summary,"1,268.2","1,332.8",64.6,5.1,15.4,283.8,"$79,650",—,—,—,
"Lawyers, judges, and related workers",23-1000,Summary,844.2,887.7,43.5,5.1,19.8,169.1,"$115,050",—,—,—,
Lawyers and judicial law clerks,23-1010,Summary,791.1,834.1,43.1,5.4,20.9,160.4,"$116,250",—,—,—,
Concierges,39-6012,Line item,31.2,34.4,3.3,10.4,—,9.6,"$29,250",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Media and communication workers, all other",27-3099,Line item,33.5,37.0,3.5,10.3,23.4,8.8,"$43,600",High school diploma or equivalent,None,Short-term on-the-job training,
"Judges, magistrates, and other judicial workers",23-1020,Summary,53.2,53.6,0.4,0.7,2.6,8.7,"$100,960",—,—,—,
"Pediatricians, general",29-1065,Line item,34.8,38.4,3.6,10.3,9.8,12.9,"$168,990",Doctoral or professional degree,None,Internship/residency,
Magnetic resonance imaging technologists,29-2035,Line item,33.6,37.1,3.5,10.3,0.9,9.8,"$68,420",Associate's degree,Less than 5 years,None,
Bartenders,35-3011,Line item,580.9,640.9,60.1,10.3,0.4,278.3,"$20,800",No formal educational credential,None,Short-term on-the-job training,
Legal support workers,23-2000,Summary,424.0,445.1,21.1,5.0,6.6,114.7,"$49,560",—,—,—,
Manicurists and pedicurists,39-5092,Line item,113.6,125.3,11.7,10.3,30.2,20.6,"$22,150",Postsecondary nondegree award,None,None,
Miscellaneous legal support workers,23-2090,Summary,144.4,144.3,-0.1,-0.1,16.1,32.1,"$49,780",—,—,—,
Shampooers,39-5093,Line item,23.8,26.2,2.5,10.3,30.2,4.3,"$19,700",No formal educational credential,None,Short-term on-the-job training,
Recreation workers,39-9032,Line item,379.3,418.3,38.9,10.3,6.7,108.9,"$23,870",High school diploma or equivalent,None,Short-term on-the-job training,
Technical writers,27-3042,Line item,52.0,57.3,5.3,10.2,5.5,17.2,"$69,850",Bachelor's degree,Less than 5 years,Short-term on-the-job training,
"Education, training, and library occupations",25-0000,Summary,"9,216.1","9,913.7",697.6,7.6,2.1,"2,661.1","$48,000",—,—,—,
Postsecondary teachers,25-1000,Summary,"1,869.4","2,088.8",219.4,11.7,0.2,550.6,"$66,500",—,—,—,
Family and general practitioners,29-1062,Line item,139.8,154.1,14.3,10.2,9.3,51.9,"$190,490",Doctoral or professional degree,None,Internship/residency,
"Math and computer teachers, postsecondary",25-1020,Summary,106.9,121.1,14.2,13.3,0.1,33.1,"$72,510",—,—,—,
Operating engineers and other construction equipment operators,47-2073,Line item,363.4,400.6,37.2,10.2,3.7,97.8,"$45,890",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Helpers, construction trades, all other",47-3019,Line item,19.5,21.5,2.0,10.2,0.4,4.4,"$29,270",No formal educational credential,None,Short-term on-the-job training,
"Engineering and architecture teachers, postsecondary",25-1030,Summary,55.0,61.9,6.9,12.5,0.1,16.6,"$94,720",—,—,—,
"Captains, mates, and pilots of water vessels",53-5021,Line item,35.1,38.7,3.6,10.2,6.8,17.2,"$72,680",Postsecondary nondegree award,Less than 5 years,None,
"Recreation and fitness studies teachers, postsecondary",25-1193,Line item,22.1,24.3,2.2,10.1,—,6.1,"$59,180",Doctoral or professional degree,None,None,
"Life sciences teachers, postsecondary",25-1040,Summary,78.7,90.0,11.3,14.4,0.1,25.3,"$79,180",—,—,—,
Barbers,39-5011,Line item,59.2,65.1,6.0,10.1,76.0,17.0,"$25,760",Postsecondary nondegree award,None,None,
Environmental engineering technicians,17-3025,Line item,18.6,20.4,1.9,10.0,0.5,6.4,"$49,170",Associate's degree,None,None,
"History teachers, postsecondary",25-1125,Line item,29.2,32.1,2.9,10.0,—,8.1,"$71,820",Doctoral or professional degree,None,None,
"Physical sciences teachers, postsecondary",25-1050,Summary,64.2,72.7,8.5,13.2,0.1,19.8,"$80,510",—,—,—,
First-line supervisors of construction trades and extraction workers,47-1011,Line item,578.4,636.1,57.7,10.0,12.7,103.6,"$62,980",High school diploma or equivalent,5 years or more,None,
"Meeting, convention, and event planners",13-1121,Line item,100.0,109.9,9.9,9.9,13.1,21.8,"$47,350",Bachelor's degree,None,None,
First-line supervisors of food preparation and serving workers,35-1012,Line item,890.1,978.6,88.5,9.9,1.6,352.9,"$31,480",High school diploma or equivalent,Less than 5 years,None,
Petroleum engineers,17-2171,Line item,35.1,38.5,3.4,9.8,1.6,13.0,"$128,230",Bachelor's degree,None,None,
"Social sciences teachers, postsecondary",25-1060,Summary,144.2,163.7,19.5,13.5,0.2,45.0,"$76,130",—,—,—,
"Psychologists, all other",19-3039,Line item,16.6,18.3,1.6,9.8,23.0,5.2,"$95,710",Master's degree,None,Internship/residency,
"Hairdressers, hairstylists, and cosmetologists",39-5012,Line item,597.2,655.6,58.4,9.8,42.5,212.1,"$24,260",Postsecondary nondegree award,None,None,
Customer service representatives,43-4051,Line item,"2,581.8","2,834.8",252.9,9.8,0.4,888.7,"$32,300",High school diploma or equivalent,None,Short-term on-the-job training,
Machinists,51-4041,Line item,399.7,438.9,39.2,9.8,1.0,154.7,"$41,700",High school diploma or equivalent,None,Long-term on-the-job training,
Ophthalmic laboratory technicians,51-9083,Line item,30.2,33.2,3.0,9.8,8.5,10.2,"$30,640",High school diploma or equivalent,None,Moderate-term on-the-job training,
Financial examiners,13-2061,Line item,38.2,42.0,3.7,9.7,—,13.1,"$79,280",Bachelor's degree,None,Moderate-term on-the-job training,
"Economics teachers, postsecondary",25-1063,Line item,17.3,18.9,1.7,9.7,—,4.7,"$95,770",Doctoral or professional degree,None,None,
"Political science teachers, postsecondary",25-1065,Line item,21.6,23.7,2.1,9.7,—,5.9,"$79,210",Doctoral or professional degree,None,None,
"Health teachers, postsecondary",25-1070,Summary,279.0,332.2,53.2,19.1,0.2,102.6,"$87,900",—,—,—,
"Communications teachers, postsecondary",25-1122,Line item,36.0,39.5,3.5,9.7,0.1,9.9,"$65,640",Doctoral or professional degree,None,None,
Actors,27-2011,Line item,69.4,76.1,6.6,9.6,18.3,34.0,—,"Some college, no degree",None,Long-term on-the-job training,
"Education and library science teachers, postsecondary",25-1080,Summary,81.3,88.6,7.3,9.0,0.2,21.7,"$63,040",—,—,—,
Social and community service managers,11-9151,Line item,138.5,151.7,13.2,9.5,6.0,49.8,"$64,680",Bachelor's degree,5 years or more,None,
"Environmental science and protection technicians, including health",19-4091,Line item,36.2,39.6,3.4,9.5,3.2,18.6,"$44,190",Associate's degree,None,None,
"Law, criminal justice, and social work teachers, postsecondary",25-1110,Summary,52.2,62.4,10.2,19.5,0.2,19.4,"$71,490",—,—,—,
"Securities, commodities, and financial services sales agents",41-3031,Line item,341.5,374.0,32.5,9.5,7.0,91.4,"$67,310",Bachelor's degree,None,Moderate-term on-the-job training,
Receptionists and information clerks,43-4171,Line item,"1,028.6","1,126.3",97.8,9.5,0.7,375.0,"$27,920",High school diploma or equivalent,None,Short-term on-the-job training,
Cleaners of vehicles and equipment,53-7061,Line item,346.9,380.0,33.1,9.5,5.6,154.0,"$22,220",No formal educational credential,None,Short-term on-the-job training,
"Arts, communications, and humanities teachers, postsecondary",25-1120,Summary,344.6,381.0,36.5,10.6,0.2,97.4,"$66,630",—,—,—,
Marketing managers,11-2021,Line item,194.3,212.5,18.2,9.4,3.1,64.2,"$131,180",Bachelor's degree,5 years or more,None,
"Architecture teachers, postsecondary",25-1031,Line item,9.1,9.9,0.8,9.4,—,2.5,"$79,250",Doctoral or professional degree,None,None,
"Internists, general",29-1063,Line item,54.3,59.4,5.1,9.4,9.6,19.7,"$196,380",Doctoral or professional degree,None,Internship/residency,
"Helpers--installation, maintenance, and repair workers",49-9098,Line item,129.0,141.2,12.2,9.4,—,53.8,"$27,510",High school diploma or equivalent,None,Short-term on-the-job training,
Fundraisers,13-1131,Line item,73.4,80.3,6.9,9.3,0.4,17.1,"$54,130",Bachelor's degree,None,None,
"Anthropology and archeology teachers, postsecondary",25-1061,Line item,7.5,8.2,0.7,9.3,—,2.0,"$81,350",Doctoral or professional degree,None,None,
Miscellaneous postsecondary teachers,25-1190,Summary,556.4,598.8,42.4,7.6,0.2,141.3,"$49,060",—,—,—,
"Postsecondary teachers, all other",25-1199,Line item,232.3,254.0,21.7,9.3,0.2,62.8,"$64,400",Doctoral or professional degree,None,None,
Pharmacy technicians,29-2052,Line item,372.5,407.2,34.7,9.3,0.4,71.6,"$30,920",High school diploma or equivalent,None,Moderate-term on-the-job training,
Insurance sales agents,41-3021,Line item,466.1,509.5,43.5,9.3,14.1,165.8,"$49,990",High school diploma or equivalent,None,Moderate-term on-the-job training,
Rail-track laying and maintenance equipment operators,47-4061,Line item,15.6,17.0,1.5,9.3,—,5.3,"$53,970",High school diploma or equivalent,None,Moderate-term on-the-job training,
Segmental pavers,47-4091,Line item,1.3,1.4,0.1,9.3,12.5,0.3,"$33,530",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Preschool, primary, secondary, and special education school teachers",25-2000,Summary,"4,131.9","4,374.1",242.2,5.9,0.2,"1,199.6","$54,720",—,—,—,
Preschool and kindergarten teachers,25-2010,Summary,600.4,639.5,39.1,6.5,1.2,214.8,"$34,010",—,—,—,
Atmospheric and space scientists,19-2021,Line item,11.8,12.9,1.1,9.2,1.8,3.3,"$92,460",Bachelor's degree,None,None,
"Arbitrators, mediators, and conciliators",23-1022,Line item,8.4,9.2,0.8,9.2,16.5,2.0,"$59,770",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,
Elementary and middle school teachers,25-2020,Summary,"1,999.2","2,115.1",115.9,5.8,—,558.1,"$56,100",—,—,—,
"Paving, surfacing, and tamping equipment operators",47-2071,Line item,57.7,63.0,5.3,9.2,4.8,19.1,"$38,970",High school diploma or equivalent,None,Moderate-term on-the-job training,
Automotive body and related repairers,49-3021,Line item,149.7,163.5,13.7,9.2,6.8,48.1,"$41,540",High school diploma or equivalent,None,Long-term on-the-job training,
"Education teachers, postsecondary",25-1081,Line item,75.7,82.5,6.9,9.1,0.2,20.3,"$62,520",Doctoral or professional degree,Less than 5 years,None,
Secondary school teachers,25-2030,Summary,"1,041.2","1,097.4",56.2,5.4,—,303.2,"$57,980",—,—,—,
Producers and directors,27-2012,Line item,122.6,133.8,11.1,9.1,20.7,50.5,"$70,950",Bachelor's degree,Less than 5 years,None,
Occupational health and safety technicians,29-9012,Line item,15.1,16.5,1.4,9.1,4.5,4.4,"$48,820",High school diploma or equivalent,None,Moderate-term on-the-job training,
Special education teachers,25-2050,Summary,491.1,522.0,31.0,6.3,0.1,123.5,"$57,630",—,—,—,
Sailors and marine oilers,53-5011,Line item,28.3,30.9,2.6,9.1,—,9.9,"$42,060",No formal educational credential,None,Moderate-term on-the-job training,
Rehabilitation counselors,21-1015,Line item,120.1,130.9,10.8,9.0,6.5,36.0,"$34,670",Master's degree,None,None,
"Special education teachers, preschool",25-2051,Line item,25.5,27.8,2.3,9.0,0.4,7.1,"$52,460",Bachelor's degree,None,Internship/residency,
Veterinary assistants and laboratory animal caretakers,31-9096,Line item,73.4,80.0,6.6,9.0,—,21.9,"$25,250",High school diploma or equivalent,None,Short-term on-the-job training,
"Financial clerks, all other",43-3099,Line item,38.1,41.6,3.4,9.0,—,13.7,"$39,540",High school diploma or equivalent,None,Short-term on-the-job training,
Other teachers and instructors,25-3000,Summary,"1,408.7","1,534.2",125.6,8.9,11.8,391.0,"$31,910",—,—,—,
Brokerage clerks,43-4011,Line item,57.2,62.4,5.2,9.0,—,19.1,"$49,200",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Hotel, motel, and resort desk clerks",43-4081,Line item,243.2,265.1,21.9,9.0,—,147.7,"$22,070",High school diploma or equivalent,None,Short-term on-the-job training,
Marine engineers and naval architects,17-2121,Line item,8.3,9.0,0.7,8.9,6.2,2.9,"$93,350",Bachelor's degree,None,None,
"Librarians, curators, and archivists",25-4000,Summary,276.2,286.2,10.1,3.6,0.9,95.2,"$46,610",—,—,—,
"Archivists, curators, and museum technicians",25-4010,Summary,31.3,33.4,2.1,6.7,7.7,11.8,"$47,230",—,—,—,
Veterinarians,29-1131,Line item,78.3,85.2,6.9,8.9,16.2,19.0,"$88,770",Doctoral or professional degree,None,None,
Chefs and head cooks,35-1011,Line item,127.5,138.8,11.3,8.9,4.9,30.4,"$43,180",High school diploma or equivalent,5 years or more,None,
Demonstrators and product promoters,41-9011,Line item,93.0,101.3,8.2,8.9,9.1,35.8,"$25,610",High school diploma or equivalent,None,Short-term on-the-job training,
Human resources managers,11-3121,Line item,122.5,133.3,10.8,8.8,1.2,46.6,"$106,910",Bachelor's degree,5 years or more,None,
Cost estimators,13-1051,Line item,213.5,232.3,18.7,8.8,0.7,79.5,"$61,790",Bachelor's degree,None,None,
"Other education, training, and library occupations",25-9000,Summary,"1,530.0","1,630.3",100.3,6.6,1.0,424.7,"$27,500",—,—,—,
"Business teachers, postsecondary",25-1011,Line item,106.8,116.2,9.4,8.8,0.2,28.3,"$77,490",Doctoral or professional degree,None,None,
Costume attendants,39-3092,Line item,6.2,6.7,0.5,8.8,2.9,3.1,"$45,900",High school diploma or equivalent,None,Short-term on-the-job training,
"Education administrators, postsecondary",11-9033,Line item,175.1,190.3,15.2,8.7,5.3,66.1,"$90,760",Master's degree,Less than 5 years,None,
Computer network architects,15-1143,Line item,146.2,158.9,12.7,8.7,1.5,31.5,"$101,210",Bachelor's degree,5 years or more,None,
"Computer science teachers, postsecondary",25-1021,Line item,43.4,47.2,3.8,8.7,0.2,11.5,"$77,570",Doctoral or professional degree,None,None,
"Arts, design, entertainment, sports, and media occupations",27-0000,Summary,"2,624.2","2,731.7",107.5,4.1,25.3,771.9,"$47,190",—,—,—,
Art and design workers,27-1000,Summary,773.1,789.7,16.7,2.2,30.2,192.9,"$44,410",—,—,—,
Artists and related workers,27-1010,Summary,189.3,195.9,6.6,3.5,53.9,42.0,"$70,080",—,—,—,
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Line item,13.2,14.3,1.1,8.7,—,3.5,"$85,410",Doctoral or professional degree,None,None,
Radiologic technologists,29-2034,Line item,197.0,214.2,17.2,8.7,0.9,54.4,"$57,450",Associate's degree,None,None,
Boilermakers,47-2011,Line item,17.4,19.0,1.5,8.7,—,4.2,"$62,060",High school diploma or equivalent,None,Apprenticeship,
Riggers,49-9096,Line item,20.8,22.6,1.8,8.7,—,7.2,"$45,690",High school diploma or equivalent,None,Short-term on-the-job training,
Dredge operators,53-7031,Line item,2.2,2.3,0.2,8.7,12.0,0.4,"$42,420",High school diploma or equivalent,None,Moderate-term on-the-job training,
Designers,27-1020,Summary,583.8,593.9,10.0,1.7,22.6,150.9,"$40,800",—,—,—,
"Environmental science teachers, postsecondary",25-1053,Line item,6.7,7.3,0.6,8.6,—,1.8,"$78,340",Doctoral or professional degree,None,None,
Loan interviewers and clerks,43-4131,Line item,213.8,232.3,18.5,8.6,0.5,51.3,"$38,630",High school diploma or equivalent,None,Short-term on-the-job training,
"Motor vehicle operators, all other",53-3099,Line item,62.0,67.3,5.3,8.6,3.8,24.3,"$27,150",No formal educational credential,None,Short-term on-the-job training,
"Dentists, all other specialists",29-1029,Line item,6.7,7.3,0.6,8.5,15.4,1.9,"$173,000",Doctoral or professional degree,None,Internship/residency,
Civil engineers,17-2051,Line item,281.4,305.0,23.6,8.4,3.9,106.7,"$83,540",Bachelor's degree,None,None,
Fitness trainers and aerobics instructors,39-9031,Line item,279.1,302.5,23.4,8.4,10.6,74.9,"$38,160",High school diploma or equivalent,None,Short-term on-the-job training,
"Pump operators, except wellhead pumpers",53-7072,Line item,13.1,14.2,1.1,8.4,5.8,7.8,"$42,470",High school diploma or equivalent,None,Moderate-term on-the-job training,
Foresters,19-1032,Line item,15.5,16.8,1.3,8.3,1.4,8.0,"$58,700",Bachelor's degree,None,None,
"Entertainers and performers, sports and related workers",27-2000,Summary,781.7,827.7,46.0,5.9,21.6,298.7,"$40,870",—,—,—,
"Actors, producers, and directors",27-2010,Summary,192.1,209.8,17.7,9.2,19.8,84.5,"$62,850",—,—,—,
"Medical scientists, except epidemiologists",19-1042,Line item,107.9,116.8,9.0,8.3,0.7,42.4,"$80,530",Doctoral or professional degree,None,None,
"Sales representatives, services, all other",41-3099,Line item,853.5,924.1,70.6,8.3,1.7,252.4,"$52,490",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Athletes, coaches, umpires, and related workers",27-2020,Summary,284.1,300.6,16.5,5.8,8.5,112.4,"$31,440",—,—,—,
First-line supervisors of office and administrative support workers,43-1011,Line item,"1,466.1","1,587.3",121.2,8.3,0.4,342.7,"$54,340",High school diploma or equivalent,Less than 5 years,None,
"Roustabouts, oil and gas",47-5071,Line item,76.4,82.7,6.3,8.3,0.3,21.3,"$37,340",No formal educational credential,None,Moderate-term on-the-job training,
